Date,Close/Last,Volume,Open,High,Low
2/28/2022,$18.86 ,42772330,$18.00 ,$19.34 ,$17.61 
2/25/2022,$17.66 ,36944110,$17.71 ,$17.86 ,$16.53 
2/24/2022,$17.68 ,54405750,$14.97 ,$17.77 ,$14.96 
2/23/2022,$15.73 ,30155910,$16.73 ,$17.02 ,$15.62 
2/22/2022,$16.47 ,42968540,$17.36 ,$18.13 ,$16.11 
2/18/2022,$17.90 ,31953540,$18.99 ,$19.20 ,$17.69 
2/17/2022,$18.94 ,40130240,$19.48 ,$20.21 ,$18.47 
2/16/2022,$19.67 ,49444600,$19.35 ,$20.58 ,$19.26 
2/15/2022,$19.48 ,39851980,$18.05 ,$19.55 ,$17.96 
2/14/2022,$17.75 ,46106740,$18.83 ,$19.36 ,$17.66 
2/11/2022,$18.81 ,68425900,$18.62 ,$19.66 ,$18.33 
2/10/2022,$18.59 ,98957390,$17.90 ,$20.96 ,$17.85 
2/9/2022,$18.94 ,75867370,$16.30 ,$19 ,$16.14 
2/8/2022,$16.43 ,51272460,$14.90 ,$16.82 ,$14.65 
2/7/2022,$14.91 ,29755160,$15.62 ,$16 ,$14.68 
2/4/2022,$15.35 ,32396550,$15 ,$15.70 ,$14.74 
2/3/2022,$14.87 ,39215120,$15.04 ,$15.85 ,$14.65 
2/2/2022,$15.42 ,48626040,$16.55 ,$17.07 ,$15.38 
2/1/2022,$16.86 ,124427700,$18.15 ,$18.71 ,$16.52 
1/31/2022,$16.06 ,41447900,$15.14 ,$16.25 ,$15 
1/28/2022,$15.06 ,53951580,$14.60 ,$15.25 ,$13.40 
1/27/2022,$14.52 ,50530190,$16.11 ,$16.59 ,$14.40 
1/26/2022,$15.94 ,76722880,$16.21 ,$18.16 ,$15.65 
1/25/2022,$16.02 ,42434570,$15.89 ,$16.62 ,$15.55 
1/24/2022,$16.64 ,82538970,$16.24 ,$17.29 ,$14.23 
1/21/2022,$17.97 ,65185650,$17.77 ,$18.56 ,$16.22 
1/20/2022,$18.07 ,51078730,$18.59 ,$20.16 ,$17.95 
1/19/2022,$18.32 ,35096850,$18.53 ,$19.42 ,$18.03 
1/18/2022,$18.84 ,55799860,$19.79 ,$19.89 ,$17.80 
1/14/2022,$20.57 ,56996640,$20.33 ,$21.08 ,$19.51 
1/13/2022,$20.66 ,41004990,$22.65 ,$23.15 ,$20.53 
1/12/2022,$22.72 ,27472090,$22.86 ,$23.36 ,$22.05 
1/11/2022,$22.79 ,36063760,$22.40 ,$23.75 ,$22.09 
1/10/2022,$22.78 ,37784000,$22.42 ,$22.87 ,$21.25 
1/7/2022,$22.99 ,49480990,$23.61 ,$24.30 ,$22.44 
1/6/2022,$22.46 ,59112720,$22.96 ,$23.77 ,$20.80 
1/5/2022,$22.75 ,45172060,$25.17 ,$25.30 ,$22.36 
1/4/2022,$25.49 ,33347930,$26.67 ,$26.67 ,$24.64 
1/3/2022,$26.52 ,26810810,$27.42 ,$28.13 ,$26.42 
12/31/2021,$27.20 ,23408020,$28.76 ,$29.40 ,$27.11 
12/30/2021,$28.94 ,36056430,$27.91 ,$30.19 ,$27.68 
12/29/2021,$27.95 ,30983390,$27.75 ,$28.35 ,$26.62 
12/28/2021,$27.72 ,31588100,$28.18 ,$29.74 ,$27.59 
12/27/2021,$28.70 ,30785600,$28.35 ,$29.39 ,$27.01 
12/23/2021,$28.52 ,37005880,$28.86 ,$29.43 ,$26.82 
12/22/2021,$28.68 ,36983790,$29.94 ,$30.48 ,$28.04 
12/21/2021,$30.30 ,46852460,$29.40 ,$32.23 ,$29.05 
12/20/2021,$29.70 ,66938160,$28.96 ,$30.70 ,$28.11 
12/17/2021,$29.12 ,144753100,$24.39 ,$30.71 ,$23.65 
12/16/2021,$24.45 ,43702390,$25.35 ,$25.87 ,$24.08 
12/15/2021,$24.66 ,53208190,$24.60 ,$25.28 ,$22.53 
12/14/2021,$24.50 ,107045800,$20.91 ,$25.12 ,$20.80 
12/13/2021,$23.24 ,84199780,$27.49 ,$27.63 ,$22.46 
12/10/2021,$27.44 ,58858890,$29.35 ,$29.93 ,$26 
12/9/2021,$29.46 ,36556770,$31.75 ,$32.95 ,$29.31 
