Date,Close/Last,Volume,Open,High,Low
2/28/2022,$36.03 ,44865190,$35.26 ,$36.31 ,$34.98 
2/25/2022,$34.98 ,23691460,$34.84 ,$35.27 ,$34.01 
2/24/2022,$34.87 ,42978100,$29.97 ,$34.95 ,$29.71 
2/23/2022,$32.39 ,27254850,$33.89 ,$34.21 ,$32.30 
2/22/2022,$33.68 ,28731340,$34.21 ,$35.10 ,$33.28 
2/18/2022,$34.68 ,28199910,$35.52 ,$36.33 ,$34.67 
2/17/2022,$35.71 ,28432070,$36.13 ,$37.43 ,$35.41 
2/16/2022,$36.58 ,33165890,$36.63 ,$37.39 ,$36.27 
2/15/2022,$37.09 ,38183480,$35.44 ,$37.21 ,$35.11 
2/14/2022,$34.59 ,44556750,$35.20 ,$35.99 ,$34.32 
2/11/2022,$35.29 ,72568420,$37.96 ,$38.65 ,$34.48 
2/10/2022,$37.75 ,113915000,$41 ,$42.56 ,$37.35 
2/9/2022,$40.19 ,52614110,$38.81 ,$40.40 ,$38.16 
2/8/2022,$38.34 ,25857620,$37.25 ,$38.57 ,$36.95 
2/7/2022,$37.54 ,30303150,$36.99 ,$39.05 ,$36.99 
2/4/2022,$37.05 ,33082060,$35 ,$37.36 ,$34.36 
2/3/2022,$34.54 ,32192060,$36.08 ,$36.74 ,$34.30 
2/2/2022,$37.17 ,19591120,$38.53 ,$38.62 ,$37.03 
2/1/2022,$38.61 ,19669920,$37.63 ,$38.71 ,$37.20 
1/31/2022,$37.40 ,22899350,$35.34 ,$37.54 ,$35.30 
1/28/2022,$35.21 ,28007150,$34.17 ,$35.22 ,$32.81 
1/27/2022,$34.09 ,26086750,$35.37 ,$35.79 ,$33.94 
1/26/2022,$34.80 ,29495870,$36.07 ,$36.68 ,$34.45 
1/25/2022,$34.82 ,29576950,$35.47 ,$36.09 ,$34.52 
1/24/2022,$36.28 ,49280930,$34.91 ,$36.42 ,$33.51 
1/21/2022,$35.94 ,41836760,$37.41 ,$37.60 ,$35.85 
1/20/2022,$37.82 ,21720080,$38.29 ,$39.64 ,$37.75 
1/19/2022,$37.86 ,35552500,$38.21 ,$38.89 ,$37.12 
1/18/2022,$38.41 ,36902200,$40.96 ,$40.96 ,$38.37 
1/14/2022,$41.51 ,25817800,$42.40 ,$42.72 ,$40.36 
1/13/2022,$42.87 ,17190080,$43.34 ,$43.92 ,$42.73 
1/12/2022,$43.04 ,18993870,$43.99 ,$44.10 ,$42.54 
1/11/2022,$43.62 ,22160980,$42.36 ,$44.17 ,$42.19 
1/10/2022,$42.60 ,29783760,$41.48 ,$42.81 ,$40.16 
1/7/2022,$41.51 ,24875830,$42 ,$42.65 ,$41.20 
1/6/2022,$42.03 ,32434250,$43.11 ,$44.08 ,$40.97 
1/5/2022,$43.24 ,28498660,$44.29 ,$45.90 ,$42.86 
1/4/2022,$44.42 ,30845320,$44.23 ,$44.80 ,$42.58 
1/3/2022,$43.95 ,26364970,$42.48 ,$44.41 ,$41.89 
12/31/2021,$41.93 ,13746890,$42.53 ,$43.12 ,$41.93 
12/30/2021,$42.66 ,13516260,$42.29 ,$43.34 ,$42.20 
12/29/2021,$42.46 ,15908610,$42.72 ,$42.93 ,$41.82 
12/28/2021,$42.54 ,21480950,$42.60 ,$43.74 ,$42.30 
12/27/2021,$42.96 ,28284980,$43.44 ,$44.24 ,$42.82 
12/23/2021,$43.91 ,21763420,$43.03 ,$44.35 ,$42.76 
12/22/2021,$43.02 ,27675670,$41.95 ,$43.23 ,$41.45 
12/21/2021,$41.97 ,28385160,$39.82 ,$42.08 ,$39.82 
12/20/2021,$39.70 ,28153740,$38.45 ,$40.15 ,$38.08 
12/17/2021,$39.68 ,51048120,$37.20 ,$40 ,$36.74 
12/16/2021,$37.70 ,31478390,$38.25 ,$38.58 ,$37.13 
12/15/2021,$37.83 ,37612570,$36.91 ,$38.38 ,$36.24 
12/14/2021,$37.26 ,45491730,$35.25 ,$38.45 ,$35.21 
12/13/2021,$35.73 ,38394720,$36.18 ,$36.31 ,$34.88 
12/10/2021,$36.67 ,25760610,$37.41 ,$37.87 ,$36.61 
12/9/2021,$37.54 ,22994810,$38.44 ,$38.70 ,$37.48 
12/8/2021,$38.81 ,29688550,$38.30 ,$39.41 ,$38.01 
12/7/2021,$38.08 ,40443330,$39.40 ,$40.22 ,$37.76 
12/6/2021,$38.49 ,36689190,$35.95 ,$38.69 ,$35.44 
12/3/2021,$35.85 ,47392730,$37.42 ,$37.84 ,$35.26 
12/2/2021,$38.12 ,32266970,$36.55 ,$38.40 ,$36.45 
12/1/2021,$36.02 ,47369180,$39.45 ,$39.50 ,$35.80 
11/30/2021,$38 ,55268520,$39.25 ,$39.95 ,$37.04 
11/29/2021,$39.70 ,27724440,$41.06 ,$41.25 ,$38.78 
11/26/2021,$40.52 ,35453590,$39.61 ,$40.62 ,$38.77 
11/24/2021,$42.08 ,17118200,$42 ,$42.37 ,$41.24 
11/23/2021,$42.68 ,18099400,$42.38 ,$43.14 ,$41.60 
11/22/2021,$42.60 ,31355200,$43.96 ,$44.40 ,$41.81 
11/19/2021,$44.23 ,21465520,$43.93 ,$44.72 ,$43.50 
11/18/2021,$45 ,27839870,$44.53 ,$45.33 ,$43.58 
11/17/2021,$44.11 ,25036350,$45.36 ,$45.64 ,$43.90 
11/16/2021,$45.76 ,46219690,$45.54 ,$46.66 ,$44.86 
11/15/2021,$43.61 ,19690000,$45.11 ,$45.26 ,$43.56 
11/12/2021,$45.12 ,29804570,$43.57 ,$45.13 ,$43.57 
11/11/2021,$43.28 ,27307790,$43.32 ,$43.72 ,$42.44 
11/10/2021,$43.38 ,33712210,$44.90 ,$45.25 ,$42.60 
11/9/2021,$45.51 ,33588850,$45.91 ,$45.98 ,$43.68 
11/8/2021,$45.89 ,25257850,$47.08 ,$47.65 ,$45.82 
11/5/2021,$47.19 ,45641490,$47.50 ,$48.74 ,$46.61 
11/4/2021,$45.27 ,31903050,$45.54 ,$46.53 ,$44.99 
11/3/2021,$45.72 ,38499590,$45.33 ,$46.26 ,$44.71 
11/2/2021,$42.89 ,28002580,$44.34 ,$44.35 ,$42.33 
11/1/2021,$44.36 ,20983930,$44.07 ,$45.03 ,$43.65 
10/29/2021,$43.82 ,18283200,$44.49 ,$44.80 ,$43.57 
10/28/2021,$44.62 ,14768790,$45 ,$45.41 ,$44.38 
10/27/2021,$44.73 ,26999750,$46.47 ,$46.55 ,$44.17 
10/26/2021,$46.02 ,19491760,$46.28 ,$47.69 ,$45.86 
10/25/2021,$45.72 ,12955480,$45.67 ,$46.07 ,$45.02 
10/22/2021,$45.51 ,19259200,$46 ,$46.50 ,$45.23 
