Date,Close/Last,Volume,Open,High,Low
2/28/2022,$132.60 ,12033140,$126.79 ,$135.09 ,$125.10 
2/25/2022,$125.32 ,5242599,$129.05 ,$129.06 ,$120.02 
2/24/2022,$126.97 ,6998541,$114.74 ,$128.74 ,$114.26 
2/23/2022,$120.10 ,4634693,$127.99 ,$128.15 ,$120.10 
2/22/2022,$126.61 ,4445964,$125.06 ,$130.73 ,$124.98 
2/18/2022,$126.96 ,5435014,$130.13 ,$131.94 ,$124.71 
2/17/2022,$129.38 ,4944736,$137.63 ,$137.74 ,$128.93 
2/16/2022,$138.51 ,3928926,$144.49 ,$144.69 ,$136.40 
2/15/2022,$146.90 ,3043753,$144.44 ,$147.15 ,$141.10 
2/14/2022,$142.09 ,2538889,$142.42 ,$147.74 ,$141.11 
2/11/2022,$141.24 ,2690370,$146.97 ,$150.48 ,$140.16 
2/10/2022,$145.72 ,3348835,$145.78 ,$152.69 ,$144.29 
2/9/2022,$149.60 ,3067123,$146.49 ,$149.81 ,$143.90 
2/8/2022,$142.69 ,2565110,$139.36 ,$143.19 ,$137.28 
2/7/2022,$141.44 ,2531119,$144.59 ,$147.48 ,$139.78 
2/4/2022,$144.10 ,3457854,$139.30 ,$145.21 ,$136.92 
2/3/2022,$137.94 ,3355981,$144.07 ,$146.45 ,$137.35 
2/2/2022,$148.11 ,3063437,$155.79 ,$156.05 ,$146.58 
2/1/2022,$155.68 ,3315996,$155.23 ,$155.95 ,$150.07 
1/31/2022,$154.28 ,4960859,$146.67 ,$154.34 ,$145.90 
1/28/2022,$143.81 ,3682700,$137.58 ,$143.89 ,$134.70 
1/27/2022,$136.81 ,3580275,$143.60 ,$143.81 ,$136.17 
1/26/2022,$140.33 ,4888340,$150.03 ,$152 ,$138.89 
1/25/2022,$145.89 ,5122217,$150 ,$152.14 ,$142.12 
1/24/2022,$152.95 ,8235232,$141.68 ,$153.24 ,$138.91 
1/21/2022,$147.66 ,5722561,$153.98 ,$156.91 ,$147.11 
1/20/2022,$155.81 ,3710654,$159.55 ,$163.48 ,$155.65 
1/19/2022,$157.23 ,3305196,$158.65 ,$162.99 ,$156.94 
1/18/2022,$157.70 ,4364412,$156.32 ,$162.98 ,$156 
1/14/2022,$159.72 ,4700697,$161.42 ,$164.89 ,$156.88 
1/13/2022,$162.10 ,4612516,$170.10 ,$170.39 ,$162 
1/12/2022,$170.65 ,2704254,$177 ,$179.90 ,$169.70 
1/11/2022,$175.97 ,2410998,$172.15 ,$178.88 ,$169.45 
1/10/2022,$172.56 ,3502327,$169.32 ,$173.23 ,$164.90 
1/7/2022,$171.60 ,3089411,$176.05 ,$180.67 ,$170.72 
1/6/2022,$176.33 ,4002529,$173.09 ,$181.88 ,$171.23 
1/5/2022,$174.88 ,3772259,$175.98 ,$183.67 ,$174.29 
1/4/2022,$179.85 ,5269802,$183.32 ,$183.56 ,$172.10 
1/3/2022,$184.26 ,3175166,$184.44 ,$184.91 ,$177.24 
12/31/2021,$183.91 ,2817386,$189.20 ,$191.61 ,$183.62 
12/30/2021,$190.52 ,4141928,$182.32 ,$192.91 ,$180.84 
12/29/2021,$181.81 ,2565682,$184 ,$185.21 ,$179.79 
12/28/2021,$183.77 ,3132495,$186.60 ,$190.63 ,$183.09 
12/27/2021,$187.44 ,3070994,$189.54 ,$190.44 ,$185.66 
12/23/2021,$191.65 ,3106628,$191 ,$193.41 ,$186.65 
12/22/2021,$193.13 ,2865894,$197.05 ,$200.25 ,$190.42 
12/21/2021,$199.42 ,4246782,$199.04 ,$200.53 ,$191.67 
12/20/2021,$197.97 ,7774054,$205 ,$205.22 ,$197.02 
12/17/2021,$199.74 ,10512600,$184.12 ,$201.69 ,$183.36 
12/16/2021,$182.40 ,4224447,$183.79 ,$185.72 ,$177 
12/15/2021,$183.73 ,4792266,$181.13 ,$185.47 ,$174.66 
12/14/2021,$181.94 ,3511246,$180.57 ,$183.42 ,$178.80 
12/13/2021,$184.57 ,2767816,$181.86 ,$188.97 ,$181 
12/10/2021,$185.25 ,2174579,$188.27 ,$191.36 ,$183.91 
12/9/2021,$188.27 ,3797215,$195.17 ,$198.51 ,$185.65 
12/8/2021,$194.86 ,3320757,$188.29 ,$195.98 ,$184.30 
12/7/2021,$189.06 ,3988298,$187.85 ,$190.87 ,$185.58 
12/6/2021,$185.84 ,4157872,$180.64 ,$186.13 ,$175.27 
12/3/2021,$183.92 ,8934232,$187.73 ,$187.83 ,$177.12 
12/2/2021,$191.75 ,6610833,$195.44 ,$198.49 ,$188.37 
12/1/2021,$197.71 ,7587130,$211.42 ,$211.50 ,$196.27 
11/30/2021,$211.41 ,5916217,$220.66 ,$221.41 ,$207.40 
11/29/2021,$218.98 ,7035440,$216.43 ,$219.36 ,$208.46 
11/26/2021,$220.21 ,10808630,$235.70 ,$235.97 ,$219.21 
11/24/2021,$208.30 ,9218637,$203.90 ,$211.50 ,$202.02 
11/23/2021,$206.64 ,25297460,$218.05 ,$218.61 ,$195.80 
11/22/2021,$242.28 ,8012833,$249.26 ,$251.70 ,$238.20 
11/19/2021,$251.30 ,3882732,$262.24 ,$265.23 ,$249.33 
11/18/2021,$255.75 ,2360160,$260.88 ,$263.50 ,$254.58 
11/17/2021,$263.71 ,2417296,$264 ,$266.19 ,$261.52 
11/16/2021,$264.49 ,1972023,$263 ,$268.88 ,$261.21 
11/15/2021,$263.71 ,3994862,$255 ,$265.33 ,$255 
11/12/2021,$254.97 ,3173610,$248.38 ,$255.14 ,$245.53 
11/11/2021,$247.60 ,3286194,$251.27 ,$253.19 ,$245.16 
11/10/2021,$251.26 ,4903872,$257.01 ,$259.47 ,$249 
11/9/2021,$258.40 ,3022512,$260.99 ,$265.66 ,$257.57 
